Date,DZD,ARS,AUD,BDT,BRL,KHR,CAD,CLP,CNY,TWD,COP,EUR,CZK,DKK,HKD,HUF,ISK,INR,IDR,ILS,JPY,KRW,MYR,MXN,NZD,NOK,PEN,PHP,PKR,PLN,RON,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TRY,AED,GBP,USD,VEF,VND
2020-04-13,82.23810263963868,10.16387425076948,77.79703592010765,104.93142690889282,52.72401854275772,114.25179803188882,78.5315734500416,81.45436395226949,118.70583755636449,119.37500013953026,70.64994256863218,110.56373355228872,98.5141052434249,105.76665424253405,109.27398637860135,82.11204164886331,111.7061187018054,80.17691327254471,68.180225112211,127.07096658151016,92.85106368130893,113.76845300032008,86.09506252576506,56.245545651580656,98.79093072123848,73.05977659452459,110.0090696825841,101.75483113179365,68.64583956022965,95.76787495208389,97.23511985622181,52.136952047711205,121.53585595308587,113.55934966355046,49.04642617939626,93.56158304173996,131.35010500935607,115.26928496073035,28.828072357389917,129.56427601447743,100.15691720659761,137.35319674730414,0.0019220272695456458,94.09799096827578
2020-04-14,81.74032793023561,10.095781225195395,79.51936617605745,104.41543762401808,52.44183640419141,113.81527811767242,79.09330454443105,81.86846503475651,118.09100008469133,118.93606365883873,70.75575588181111,110.8117178118146,98.68590684778124,105.92387865016792,109.01443378876823,83.09184813037834,111.35604978935282,80.0106426073396,68.52511704270094,126.37005977799967,93.80105876229726,113.37236813740843,85.75867847092059,57.05846666156068,99.58959260859234,72.45438534275503,108.43256630776297,101.24601464993017,68.64583956022965,96.02225671588737,97.20870333571855,52.49379018925255,121.53585595308587,113.76894940520155,48.288653618807096,93.94527844495143,131.86718915741636,115.0291042956932,28.403377801628743,128.9710307332955,100.77208895453,136.29241451010472,0.0019220272695456458,94.47682360425033
2020-04-15,81.98372858367023,10.142074518016987,78.54424849361733,104.74448581311407,51.81976574933223,114.15427585809397,78.4070023061797,81.74694105751644,118.49548631506299,119.0884204321615,71.26933116622615,110.81704040874637,98.1913460466709,105.97618480657707,109.21132073176021,83.21072599247482,111.57804602019755,79.93529969778463,68.46266208661224,125.76495699555063,94.04238040755415,113.23060021056814,85.88822497194558,56.308475478962606,98.28906778406093,71.57542537505125,107.86118178014658,101.16536747102072,68.64583956022965,96.2848460846576,97.18673689516518,51.910175258623106,121.45528846890319,113.33003715082914,47.267934361177794,93.90449444624907,131.84519695378813,115.47310693182156,28.164131637520878,129.42404738296085,100.58696421576394,137.17222261845686,0.0019220272695456458,94.75356852279909
2020-04-16,81.8661353144311,10.132197892033304,78.69919669836568,104.8792574541633,51.95431969775607,114.27815003813342,78.20868015001743,80.84893752434125,118.4618813228781,119.26776142937652,70.25530302138992,110.69695410841523,97.91485473197129,105.8891038914975,109.37326237696725,83.36247820748746,111.20273711126787,79.59994379035177,68.92565446758867,126.76092818259667,94.00361369937309,112.84426837289887,85.2312750448619,55.814145156102576,98.31931079484406,71.73261885346795,108.41278501642356,100.94489587162289,68.64583956022965,96.43016523181285,97.16216827324595,52.29429165559169,121.63489202250429,113.28685120569197,47.66450589794155,94.20447624703446,132.02535531942675,115.67776117052257,27.9825380214385,129.61167094298784,100.79951702413254,137.5862079514663,0.0019220272695456458,94.89304920292132
2020-04-17,81.65385972294213,10.105294227576374,79.2453061533618,104.90625202450354,51.99434432686607,114.1400508104801,78.40209306193304,81.48449419939844,118.27729629609438,119.30669330029677,69.8230120612816,110.43638852588245,97.46530399967608,105.69790580241316,109.32893499476786,82.78300262042508,110.54585876575307,79.97194551741919,69.32449530017846,126.78527432247797,93.86185955812817,113.59723199767382,85.23604184758624,56.09340952356061,98.81696049961019,72.45688666883377,108.50370887756597,100.77355980350333,68.64583956022965,96.60414351309394,97.17521068271407,52.36398924657446,121.53415203896314,113.53925205026019,47.25165853244782,94.31720456772979,131.81407365294947,116.0430265480004,28.132355516275876,129.47577712828377,100.84294621013193,137.39912695441143,0.0019220272695456458,94.75899398838233
2020-04-18,81.65385972294213,10.105294227576374,79.2453061533618,104.9126804836398,51.99434432686607,114.1544896986975,78.40209306193304,81.48449419939844,118.27729629609438,119.30669330029677,69.81747039388647,110.43638852588245,97.46530399967608,105.69790580241316,109.32893499476786,82.78300262042508,110.54585876575307,79.97194551741919,69.32449530017846,126.78527432247797,93.86185955812817,113.59723199767382,85.23604184758624,56.09340952356061,98.81696049961019,72.45688666883377,108.50370887756597,100.77355980350333,68.64583956022965,96.60414351309394,97.17521068271407,52.36398924657446,121.53415203896314,113.53925205026019,47.25165853244782,94.31720456772979,131.81407365294947,116.0430265480004,28.132355516275876,129.46190800734604,100.84294621013193,137.39912695441143,0.0019220272695456458,94.76265137484778
2020-04-19,81.65385972294213,10.105294227576374,79.2453061533618,104.9126804836398,51.99434432686607,114.15448970345179,78.40209306193304,81.48449419939844,118.27729629609438,119.30669330029677,69.81747039388647,110.43638852588245,97.46530399967608,105.69790580241316,109.32893499476786,82.78300262042508,110.54585876575307,79.97194551741919,69.32449530017846,126.78527432247797,93.86185955812817,113.59723199767382,85.23604184758624,56.09340952356061,98.81696049961019,72.45688666883377,108.50370887756597,100.77355980350333,68.64583956022965,96.60414351309394,97.17521068271407,52.36398924657446,121.53415203896314,113.53925205026019,47.25165853244782,94.31720456772979,131.81407365294947,116.0430265480004,28.132355516275876,129.46190800734604,100.84294621013193,137.39912695441143,0.0019220272695456458,94.76265137431717
2020-04-20,81.74578349944377,10.118926341124142,79.28278799383504,104.88327005284165,51.41505291371657,113.9731737028579,78.19447281973294,81.8938262972572,118.38040646132141,119.4873411089813,69.35881940539706,110.64938843136223,96.95276438351168,105.80309645130338,109.35062458589258,82.21274939247131,110.84729411944177,79.921132073102,69.58587249360922,127.56745003806687,93.68003999403481,113.47753935414163,85.16042248273207,56.08078505638285,99.2924373051051,72.63268754579732,108.52539189997255,101.11418964930363,68.64583956022965,96.53653619543142,97.27330833415147,52.011267736846364,121.61292273721207,113.49265915323198,47.3175056929366,94.30832943559336,131.86367349312383,116.2401107812988,28.079579652413152,129.56258472031433,100.46417370369731,137.55320197161663,0.0019220272695456458,94.81340559012949
2020-04-21,81.92067116447132,10.140638523723581,78.51940059107095,105.2827603891634,51.3315359053063,114.14891247985656,77.79455037948266,81.46682611370764,118.495521824298,119.54629519924622,69.66038185457202,111.0765299331371,96.64493805046406,106.17580999895546,109.6907277557754,82.24939282096652,110.85870385907945,79.7988932727454,69.12191431109571,128.58515577134446,94.44613608641615,112.57856541312039,85.02744230135248,55.41475977562244,98.31444850751521,71.46844994857088,109.17461612178168,101.24354054493338,68.64583956022965,96.7639759175896,97.46464391401761,50.61575103928764,121.97091543854191,113.23371538964709,46.828938501500595,93.82618561264368,132.0015259037583,116.37962574866847,28.007651612603535,129.97307187659277,99.70665643550993,138.30141692986652,0.0019220272695456458,95.17402808493054
2020-04-22,81.85843584690026,10.106072963795784,78.91999000907647,105.06974404764003,51.19876067005309,113.61040543944607,78.05411669734012,80.85604497928327,118.52809743728324,119.3902721338967,68.25991650490056,111.19521394460163,96.3637193607985,106.30599026648025,109.49200948000374,82.26040848252016,110.41628533065126,80.07230573602972,69.45212719600971,128.79245129799943,94.01986683899946,112.36427351469027,85.4573264010847,55.55238443758618,98.24632364005181,70.2883016736911,109.95884961184936,101.36783331850188,68.64583956022965,96.67712456570247,97.4697329487228,50.726391580112775,121.77557609356451,113.29558116008707,47.18859918105705,94.11557968139161,131.98746679865474,116.82177659394557,27.892211211848945,129.71216114066863,100.04486374179815,137.99862789781196,0.0019220272695456458,95.04405340222905
