Date,DZD,ARS,AUD,BDT,BRL,KHR,CAD,CLP,CNY,TWD,COP,EUR,CZK,DKK,HKD,HUF,ISK,INR,IDR,ILS,JPY,KRW,MYR,MXN,NZD,NOK,PEN,PHP,PKR,PLN,RON,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TRY,AED,GBP,USD,VEF,VND
2019-04-29,82.88388935064384,11.811827589756648,84.2451465712114,101.56502030280959,60.83681072615993,112.96242433622817,80.35621655985365,94.80797648019403,118.45386836427814,100.0,71.83173968814711,102.051613952333,100.6672628054747,103.24438643337801,103.98344341577419,88.26624144979381,121.99124916465311,75.12353041193414,72.49646727182348,121.07621123293066,86.21182161640318,113.5859925051418,86.49078164743203,70.0297139905655,103.845567157414,83.7240830711789,102.50056432322481,95.24290097159033,100.0,97.08696429171924,95.60396245397065,57.30663239757416,116.35400841074366,113.30238761350422,60.013049997979984,92.75688255251428,119.46794521624294,113.44680349254592,30.985954704881557,119.73239047516273,99.70603187756774,123.33231286028314,100.0,91.57162044826136
2019-04-30,82.64220587579295,12.20718156293476,84.19861303007195,100.59936788687935,60.698153754771376,112.82307489026952,80.54348639724968,94.07869205853714,118.26798601852964,100.0,71.29914979226278,102.2085505189055,100.83015171133893,103.38114182769071,103.89499100035215,88.24539694772177,121.99387282939172,75.29925925233975,72.28794667551628,121.23326894573468,86.47452084032284,112.91837037454451,86.49822133214754,69.89759471786527,103.88204823556597,84.00800087293472,102.56897522794503,95.71314648877322,100.0,97.34598374930724,95.53424671480767,57.2935432896077,116.1705070997552,113.33618746675522,60.10611092236633,92.61897578985932,119.13782815636034,113.41559137654858,30.733336065644828,119.52912224862744,100.05116413363476,123.1281633495048,100.0,91.49087985239485
2019-05-01,100.0,100.0,100.0,99.39353082674903,100.0,101.95014484246221,100.0,100.0,100.0,100.0,99.73301343965227,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.14870379669962,100.0,100.0,100.0,100.0,100.0,100.0,100.43917714095166,100.0,100.0,100.0,99.49774962524461
2019-05-02,82.64938372729212,12.243398954244272,83.87050976061842,100.65253273185752,60.605311412732185,112.72739113805612,80.5507853912618,93.94089083801855,118.34229553180913,100.0,71.60611579802055,102.21457795120305,100.8819052134357,103.47107976041971,103.90357081833044,87.98062470766965,120.98791619052831,75.57178714822577,72.17089338335161,121.50895005103777,86.42046557840976,113.26332494449971,86.34856222344476,69.98009606708395,103.22618721914769,83.3328692382494,102.40727860694298,95.8757940258966,100.0,97.57043246479248,95.60061337586126,56.452897942941995,116.17480629236721,113.36588988368241,59.36110567629089,92.25793661168055,119.28359574939181,113.08906486525612,30.774947714090366,119.53323420199433,100.45537142224259,123.11581988511901,100.0,91.58160997579756
2019-05-03,82.9218196479865,12.14079831171333,83.68017459678344,100.87133424627697,60.31711534247185,112.71596462328746,80.46070984085128,93.51919948172235,118.57571101964453,100.0,71.15134481254263,102.09879893932867,100.56964971709645,103.416516546262,103.97863127577311,88.10893838278761,121.56312790784263,75.81303503681517,72.22932332138136,121.80482394423848,86.52829738204082,112.7191339922943,86.38053987158276,69.37909767144004,103.23159813374194,82.97388524524423,103.02272934870469,95.76374295961018,100.0,97.38520887533285,95.59889257707378,56.64162515445934,116.35832015026718,113.28533368503616,59.22515085418452,92.03917997092475,119.40816730677174,113.220503320964,30.81594664806739,119.67261808042639,100.4543098689695,123.52330052060078,100.0,91.81678247808107
2019-05-04,100.0,100.0,100.0,99.67319049702074,100.0,101.91901543748656,100.0,100.0,100.0,100.0,99.73040992105557,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.43737726243833,100.0,100.0,100.0,99.50306570274954
2019-05-05,100.0,100.0,100.0,99.67315817719108,100.0,101.91930086201194,100.0,100.0,100.0,100.0,99.73037311041965,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.43755244573313,100.0,100.0,100.0,99.50312971371355
2019-05-06,82.83183057742963,12.217561003855518,83.62137470287708,100.95456499615598,60.136229593973844,112.65457373940279,80.34255577594881,94.18056050719325,117.90945984440282,100.0,71.61403883898711,102.21479791213139,100.61344588406098,103.53507290654933,104.16026789472208,88.14933461429112,122.34914025578685,75.63335249179434,72.04503585013471,121.87324955680828,87.11277760902469,112.68273483678375,86.23163606502537,69.7000401596496,103.16531035195553,82.93123557430613,102.80651296913102,95.57093826814594,100.0,97.50148487401901,95.67939394473018,56.721046178541,116.32634509501689,113.33425060588267,59.23174249761367,91.93335041431806,119.41671017759306,113.63791445456575,30.513303447637192,119.64951947264153,101.04164704595408,123.41048031546453,100.0,91.71474718363403
2019-05-07,82.99874284618377,12.175344564336177,83.93575184056738,100.81661268694604,60.22422430752364,112.71582601925927,80.4115944787042,93.88492732599978,117.8611043814263,100.0,71.37220594480561,102.23143115812188,100.57786828085966,103.51849396825456,104.16506341512269,87.934029883449,122.15376610542184,75.65219797933992,72.10566408580374,122.11336776891144,87.29226442220624,112.671903304301,86.21177202910731,69.80173129196372,102.86863394537478,83.19768689271942,102.72268742555522,95.56996620685491,100.0,97.45134622389008,95.7292709649058,56.89373017041886,116.36931388012928,113.37846494238728,59.68272513747009,92.01100947403121,119.26824946347998,113.63378645279457,29.91170847728676,119.73226096425992,100.81150489645006,123.42329154491718,100.0,91.67008663927412
2019-05-08,82.95548216977167,12.000476203150521,83.84252449137213,100.83147748076502,60.53103628434806,112.71438884257934,80.49974362232682,93.61009713868062,117.64780542537785,100.0,70.66064978341348,102.33986342811482,100.6611948619175,103.69506004941931,104.23580549241633,88.02403805431656,121.60960530593444,75.34585849826148,72.0309965845952,122.41290556976345,87.76947623350964,112.57674539421514,86.21142447475287,69.57654452614797,102.8333832950252,82.75058526338277,102.78043596337392,95.13555738924279,100.0,97.42540724141251,95.77334781079047,56.79286556185477,116.36355943485175,113.46168336077716,59.97676655856735,91.84906790187416,119.5053393436513,113.98374743569765,29.72713926985997,119.75924638637159,100.38617683070092,123.48009002904874,100.0,91.40467365921789
