Date,reporter,partner,weight
2016-08-01,ARG,ARE,0.004172288952469478
2016-09-01,ARG,ARE,0.004172288952469478
2016-10-01,ARG,ARE,0.0020643306145437103
2016-11-01,ARG,ARE,0.0
2016-12-01,ARG,ARE,0.0
2017-01-01,ARG,ARE,0.0
2017-02-01,ARG,ARE,0.0
2017-03-01,ARG,ARE,0.0
2017-04-01,ARG,ARE,0.0
2017-05-01,ARG,ARE,0.0
2017-06-01,ARG,ARE,0.0
2017-07-01,ARG,ARE,0.0
2017-08-01,ARG,ARE,0.0
2017-09-01,ARG,ARE,0.0
2017-10-01,ARG,ARE,0.0
2017-11-01,ARG,ARE,0.0
2017-12-01,ARG,ARE,0.0
2018-01-01,ARG,ARE,0.0
2018-02-01,ARG,ARE,0.0017236502015053905
2018-03-01,ARG,ARE,0.0017236502015053905
2018-04-01,ARG,ARE,0.0017236502015053905
2018-05-01,ARG,ARE,0.0
2018-06-01,ARG,ARE,0.0
2018-07-01,ARG,ARE,0.002723507355916395
2018-08-01,ARG,ARE,0.002723507355916395
2018-09-01,ARG,ARE,0.002723507355916395
2018-10-01,ARG,ARE,0.0
2018-11-01,ARG,ARE,0.0
2018-12-01,ARG,ARE,0.0
2019-01-01,ARG,ARE,0.0021179106806891767
2019-02-01,ARG,ARE,0.0021179106806891767
2019-03-01,ARG,ARE,0.0021179106806891767
2019-04-01,ARG,ARE,0.0023721794780110117
2019-05-01,ARG,ARE,0.004127881916791957
2019-06-01,ARG,ARE,0.007541885518776595
2019-07-01,ARG,ARE,0.005169706040765584
2019-08-01,ARG,ARE,0.005362171077854289
2019-09-01,ARG,ARE,0.005007668533554111
2019-10-01,ARG,ARE,0.005007668533554111
2019-11-01,ARG,ARE,0.0057195581362165515
2019-12-01,ARG,ARE,0.007974245373029801
2020-01-01,ARG,ARE,0.01369619411999582
2020-02-01,ARG,ARE,0.01103613704146373
2020-03-01,ARG,ARE,0.010224474988622695
2020-04-01,ARG,ARE,0.004502526241656675
2020-05-01,ARG,ARE,0.004502526241656675
2020-06-01,ARG,ARE,0.0
